captured_at,media,source_id,listing_count,district,chome,rent_man,kanri_man,total_man,area_m2,layout,rooms,has_ldk,built_year,built_month,age_y,seismic,walk_min,walk_lines,structure,contract_type,contract_years,shiki_months,rei_months,shikibiki_raw,madori_detail,parking,toilet2,building_type,source_url
2026-08-19,suumo,jnc_000105344532 jnc_000108240589 jnc_000108248219 jnc_000108662942,4,王子,6,24,0,24,69.16,3DK,3,0,2021,3,5,new,10,東京メトロ南北線/王子神谷駅:12 都電荒川線/王子駅前駅:18 東京メトロ南北線/王子駅:19,木造,futsu,2,1,1,,洋5.7 洋5.6 洋4.9 DK7.8,付無料,,一戸建て,https://suumo.jp/chintai/jnc_000105344532/
2026-08-19,suumo,jnc_000105779472,1,豊島,3,25,0,25,97.1,3LDK,3,1,1995,1,31,new,15,JR京浜東北線/王子駅:15 東京メトロ南北線/王子駅:15 都電荒川線/王子駅前駅:15,木造,teiki,5,1,1,,和8 和6 洋8 LDK12,,,一戸建て,https://suumo.jp/chintai/jnc_000105779472/
2026-08-19,suumo,jnc_000105955423,1,東十条,2,3.8,0,3.8,38,3K,3,0,1959,4,67,old,4,JR京浜東北線/東十条駅:4 JR埼京線/十条駅:12 東京メトロ南北線/王子神谷駅:11,木造,teiki,2,0,1,,,,,一戸建て,https://suumo.jp/chintai/jnc_000105955423/
2026-08-19,suumo,jnc_000105972628 jnc_000107856212,2,岩淵町,,17,0,17,58.86,3DK,3,0,1982,4,44,new,5,埼玉高速鉄道/赤羽岩淵駅:5 JR埼京線/赤羽駅:13 東京メトロ南北線/志茂駅:15,木造,teiki,2,1,1,,和6 洋6 洋6 DK6,,,一戸建て,https://suumo.jp/chintai/jnc_000105972628/
2026-08-19,suumo,jnc_000106268492,1,西ケ原,3,26.5,0,26.5,79.01,3LDK,3,1,2026,6,0,new,8,東京メトロ南北線/西ケ原駅:8 JR京浜東北線/上中里駅:11 JR山手線/駒込駅:10,軽量鉄骨,futsu,2,1,1,,洋5.6 洋4.1 洋4.1 LDK15.1,,,一戸建て,https://suumo.jp/chintai/jnc_000106268492/
2026-08-19,suumo,jnc_000106670220,1,志茂,3,14,0,14,65.61,4DK,4,0,1984,3,42,new,4,東京メトロ南北線/志茂駅:4 JR京浜東北線/赤羽駅:19 JR埼京線/赤羽駅:19,木造,,,1,1,,和6 和6 洋4.5 洋4.5 DK7,,,一戸建て,https://suumo.jp/chintai/jnc_000106670220/
2026-08-19,suumo,jnc_000106813512 jnc_000106822453 jnc_000106831730 jnc_000107200382,4,志茂,3,10,0,10,46.52,3DK,3,0,1982,11,44,new,6,東京メトロ南北線/志茂駅:6 JR京浜東北線/赤羽駅:19 JR埼京線/赤羽駅:19,木造,teiki,,2,1,,和6 洋6.5 洋6 DK6.5,付無料,,一戸建て,https://suumo.jp/chintai/jnc_000106813512/
2026-08-19,suumo,jnc_000106979246,1,王子,5,10,0,10,53.69,4K,4,0,1967,7,59,old,2,東京メトロ南北線/王子神谷駅:2 JR京浜東北線/東十条駅:17 東京メトロ南北線/志茂駅:22,木造,futsu,2,1,1,,和6 和4.5 和4.5 洋6,近隣733m25300円,,一戸建て,https://suumo.jp/chintai/jnc_000106979246/
2026-08-19,suumo,jnc_000107329990 jnc_000107791383,2,堀船,1,22,0,22,72.13,1LDK,1,1,1971,6,55,old,4,JR京浜東北線/王子駅:8 東京メトロ南北線/王子駅:10 JR京浜東北線/上中里駅:14,鉄骨,futsu,2,1,1,,洋12.5 LDK16.8,近隣100m22000円,,一戸建て,https://suumo.jp/chintai/jnc_000107329990/
2026-08-19,suumo,jnc_000107424334 jnc_000108449757 jnc_000108471152,3,中十条,3,25,0,25,89.42,3LDK,3,1,2008,8,18,new,5,JR京浜東北線/東十条駅:6 JR埼京線/十条駅:7 東京メトロ南北線/王子神谷駅:18,木造,teiki,3,1,1,,和8 洋6 洋4.5 LDK17.5,付無料,,一戸建て,https://suumo.jp/chintai/jnc_000107424334/
2026-08-19,suumo,jnc_000107588960,1,滝野川,4,20,0,20,57.82,2DK,2,0,1980,1,46,old,8,都営三田線/新板橋駅:8 JR埼京線/板橋駅:12 都営三田線/西巣鴨駅:12,木造,teiki,3,1,1,,洋6 洋6 DK7.0,,,一戸建て,https://suumo.jp/chintai/jnc_000107588960/
2026-08-19,suumo,jnc_000107609790 jnc_000107619395,2,赤羽西,2,17,1,18,46.29,2LDK,2,1,1984,1,42,new,14,JR京浜東北線/赤羽駅:14 JR宇都宮線/赤羽駅:14 JR京浜東北線/東十条駅:16,木造,,,1,1,,洋6.5 洋6,,,一戸建て,https://suumo.jp/chintai/jnc_000107609790/
2026-08-19,suumo,jnc_000107687284,1,西ケ原,3,26.5,0,26.5,26.5,3LDK,3,1,2026,6,0,new,7,JR山手線/駒込駅:11 東京メトロ南北線/西ケ原駅:7 JR京浜東北線/上中里駅:10,軽量鉄骨,futsu,2,1,1,,洋5.6 洋4.1 洋4.1 LDK15.1,付無料,,一戸建て,https://suumo.jp/chintai/jnc_000107687284/
2026-08-19,suumo,jnc_000107736069,1,十条仲原,3,21,0,21,81.75,4DK,4,0,1995,11,31,new,10,JR京浜東北線/東十条駅:10 JR埼京線/十条駅:10 東京メトロ南北線/王子神谷駅:35,木造,teiki,4,2,1,,洋6.8 洋6.5 洋5.6 洋4.2 DK6.5,,,一戸建て,https://suumo.jp/chintai/jnc_000107736069/
2026-08-19,suumo,jnc_000107754605,1,志茂,5,18,0,18,87.77,4LDK,4,1,1988,1,38,new,9,JR京浜東北線/赤羽駅:13 東京メトロ南北線/志茂駅:9 東京メトロ南北線/赤羽岩淵駅:10,木造,teiki,3,1.5,1,,和6 和6 洋7.5 洋4.5 LDK12.0,,,一戸建て,https://suumo.jp/chintai/jnc_000107754605/
2026-08-19,suumo,jnc_000107804389,1,志茂,4,11.3,0,11.3,44.62,2LDK,2,1,1964,8,62,old,8,東京メトロ南北線/志茂駅:8 JR京浜東北線/赤羽駅:15 東京メトロ南北線/赤羽岩淵駅:14,木造,teiki,6,1,1,,,,,一戸建て,https://suumo.jp/chintai/jnc_000107804389/
2026-08-19,suumo,jnc_000107869848,1,豊島,6,10,0,10,28.76,1DK,1,0,1964,6,62,old,12,東京メトロ南北線/王子神谷駅:12 JR京浜東北線/王子駅:21,木造,futsu,2,2,1,,洋8 LDK5.7,,,一戸建て,https://suumo.jp/chintai/jnc_000107869848/
2026-08-19,suumo,jnc_000107869849,1,豊島,6,11,0,11,29.75,1LDK,1,1,1964,6,62,old,12,東京メトロ南北線/王子神谷駅:12 JR京浜東北線/王子駅:21,木造,,,2,1,,洋8.9 LDK7.8,,,一戸建て,https://suumo.jp/chintai/jnc_000107869849/
2026-08-19,suumo,jnc_000107919899,1,田端,6,18,0,18,66.06,5K,5,0,1982,6,44,new,13,JR山手線/田端駅:13 JR京浜東北線/上中里駅:14 JR高崎線/尾久駅:22,木造,futsu,2,1,1,,和6 和6 和5.5 洋5 K3.0,近隣190m26000円,,一戸建て,https://suumo.jp/chintai/jnc_000107919899/
2026-08-19,suumo,jnc_000108003951 jnc_000108499514,2,赤羽,3,21,0,21,74.26,3LDK,3,1,2011,8,15,new,5,JR京浜東北線/赤羽駅:13 東京メトロ南北線/赤羽岩淵駅:5 JR埼京線/北赤羽駅:15,木造,futsu,2,1,1,,洋6.2 洋6 洋5 LDK14.0,付無料,,一戸建て,https://suumo.jp/chintai/jnc_000108003951/
2026-08-19,suumo,jnc_000108079409 jnc_000108110962,2,浮間,3,25.5,0,25.5,83.21,3LDK,3,1,2023,4,3,new,9,JR埼京線/北赤羽駅:9 都営三田線/志村坂上駅:20 JR埼京線/浮間舟渡駅:18,木造,futsu,2,1,1,,洋7.2 洋5.1 洋5,付無料,,一戸建て,https://suumo.jp/chintai/jnc_000108079409/
2026-08-19,suumo,jnc_000108110960 jnc_000108130268 jnc_000108150307,3,赤羽西,3,33,0,33,108.94,4SLDK,5,1,2006,2,20,new,10,JR京浜東北線/赤羽駅:13 JR京浜東北線/東十条駅:16 JR埼京線/十条駅:19,木造,futsu,2,1,1,,洋9.5 洋8 洋7.3 洋5.7 LDK17.5S2.5,,1,一戸建て,https://suumo.jp/chintai/jnc_000108110960/
2026-08-19,suumo,jnc_000108208353,1,志茂,4,16.8,0,16.8,55.76,2LDK,2,1,1970,1,56,old,6,東京メトロ南北線/志茂駅:6 東京メトロ南北線/赤羽岩淵駅:11 JR京浜東北線/赤羽駅:15,木造,futsu,2,1,1,,洋6 洋4.5 LDK12.0,近隣200m28000円,,一戸建て,https://suumo.jp/chintai/jnc_000108208353/
2026-08-19,suumo,jnc_000108240597,1,滝野川,5,21.5,0,21.5,96.83,4LDK,4,1,1970,11,56,old,8,都営三田線/西巣鴨駅:8 JR埼京線/板橋駅:10,木造,futsu,2,1,1,,,,1,一戸建て,https://suumo.jp/chintai/jnc_000108240597/
2026-08-19,suumo,jnc_000108261805 jnc_000108278647,2,志茂,3,11.9,0,11.9,40,2DK,2,0,1966,5,60,old,5,東京メトロ南北線/志茂駅:5 JR京浜東北線/赤羽駅:21 埼玉高速鉄道/赤羽岩淵駅:21,木造,futsu,2,1,1,,洋6 洋3 DK8.0,,,一戸建て,https://suumo.jp/chintai/jnc_000108261805/
