# 中古戸建の成約事例(国交省 不動産取引価格情報の再掲サイト utinokati.com、取得 2026-08-10)。
# 2022Q1以降の北区18地区・全767件。原データ由来の丸め(価格100万円単位・面積5m2単位)あり。
# age_y は取引時点の築年数。リテール比較(engine/retail.js)の事例プールとして使用。
# shape は出典ページ(listings)の「土地形状」列の転記。2026-08-13に追加した。
# **空欄は出典に記載が無い行**(推測で埋めない)。値の語彙は 長方形/ほぼ長方形/正方形/ほぼ正方形/
# 台形/ほぼ台形/ほぼ整形/不整形/やや不整形/旗竿地/袋地等。同一諸元で表記が割れる行(6件)も空にした。
# road_type / breadth_m は**国土交通省 不動産情報ライブラリAPI(一次ソース)**由来。2026-08-13に追加。
#   road_type: private=私道 / public=区道・都道・国道・公道 / 空=原データに記載なし
#   breadth_m: 前面道路の幅員(m)。原データに幅員0のレコードが1件あるが、幅0の道路は事実ではなく
#     「不明」の符号化とみて空欄に戻した(推測で値を作らない方針の裏返し)。
# 突き合わせは (四半期・地区・価格・土地面積・延床) で行い767行中759行が一致。形状はAPIと再掲サイトで
# **447件すべて一致・不一致ゼロ**だったため、照合の妥当性はこの一致率で担保されている。
# 形状の欠測はAPIでも埋まらない(原データで「地域」区分が空のレコードは形状も間口も記録されていない)。
# 収載ルール: 再掲サイトの掲載レコードのみ。推測・補完での行追加は禁止。
# 除外ルール: 延床300m2超・土地400m2超・3億円超は共同住宅/ビルの疑いが強いため除外(戸建比較の事例プールとして不適)。
# 2026-08-13: 探索エリア拡張(docs/area-expansion-2026-08.md)に伴い 王子本町・岸町・滝野川・上中里・西ケ原・中里 の6地区を追加(286件)。
#   取得日 2026-08-13。収載/除外ルールは既存12地区と同一(新規地区だけに追加の絞り込みは掛けない=プールの一貫性を保つため)。
quarter,district,price_man,land_m2,floor_m2,age_y,walk_min,shape,road_type,breadth_m,source_url
2023Q1,西が丘,7000,150,220,53,15,ほぼ長方形,public,8,https://utinokati.com/details/house/place/13117-U0023/
2023Q1,赤羽北,4700,60,75,0,8,不整形,public,7.5,https://utinokati.com/details/house/place/13117-U0027/
2023Q1,赤羽台,3500,50,65,56,10,,private,2,https://utinokati.com/details/house/place/13117-U0029/
2023Q1,赤羽台,4000,45,60,0,10,長方形,private,4,https://utinokati.com/details/house/place/13117-U0029/
2023Q1,赤羽西,6700,65,85,0,8,長方形,private,4,https://utinokati.com/details/house/place/13117-U0030/
2023Q2,上十条,6300,80,90,0.3,9,ほぼ長方形,private,3.2,https://utinokati.com/details/house/place/13117-U0002/
2023Q2,上十条,11000,220,190,6.3,13,ほぼ台形,private,1.7,https://utinokati.com/details/house/place/13117-U0002/
2023Q2,中十条,7600,75,95,-0.8,11,ほぼ長方形,private,4,https://utinokati.com/details/house/place/13117-U0003/
2023Q2,中十条,600,105,125,61.3,6,ほぼ長方形,,,https://utinokati.com/details/house/place/13117-U0003/
2023Q2,中十条,6500,45,85,0.3,2,長方形,public,3.2,https://utinokati.com/details/house/place/13117-U0003/
2023Q2,中十条,2200,45,60,53.3,4,長方形,public,2.7,https://utinokati.com/details/house/place/13117-U0003/
2023Q2,十条仲原,1400,35,45,51.3,15,,private,2.1,https://utinokati.com/details/house/place/13117-U0005/
2023Q2,十条仲原,6800,70,100,0.3,13,長方形,private,4,https://utinokati.com/details/house/place/13117-U0005/
2023Q2,志茂,5800,65,95,3.3,15,,,4,https://utinokati.com/details/house/place/13117-U0010/
2023Q2,志茂,7000,150,195,29.3,10,,public,3.6,https://utinokati.com/details/house/place/13117-U0010/
2023Q2,志茂,8300,70,110,0.3,6,ほぼ長方形,private,5.4,https://utinokati.com/details/house/place/13117-U0010/
